"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.043480542E1,2.736388892E-2,5.063915253E-2,-1.806352437E-1
1.046479809E1,6.498204172E-2,1.524829865E-2,-9.968889505E-2
1.049479079E1,1.268677115E-1,-8.485984802E-2,-3.841558471E-2
1.052478349E1,1.799844503E-1,-1.229763031E-1,-4.646094143E-2
1.055477615E1,2.117085755E-1,-1.494245529E-1,-9.268733859E-2
1.058476882E1,1.342780590E-1,-1.450939178E-1,-1.697236747E-1
1.061476151E1,8.434802294E-3,-8.368682861E-2,-1.617637277E-1
1.064475418E1,-1.000460982E-1,-2.019977570E-2,-9.150420129E-2
1.067474684E1,-1.503877491E-1,-2.129745483E-2,2.272277698E-2
1.070473954E1,-1.473874003E-1,-4.351234436E-2,1.149056852E-1
1.073473221E1,-8.528472483E-2,-1.154232025E-1,1.625314355E-1
1.076472491E1,-3.471651673E-2,-1.654262543E-1,1.386032254E-1
1.079471757E1,5.441904068E-4,-1.917142868E-1,6.094232202E-2
1.082471020E1,-5.581605434E-2,-1.660413742E-1,2.170965448E-2
1.085470290E1,-1.490242034E-1,-1.173400879E-1,-1.766644418E-3
1.088469560E1,-2.582478523E-1,-3.792476654E-2,6.347089261E-2
1.091468823E1,-2.984825373E-1,2.748775482E-2,1.651413143E-1
1.094468093E1,-2.969826460E-1,-4.086494446E-3,2.294236124E-1
1.097467363E1,-2.347265929E-1,-6.543922424E-2,2.162771970E-1
1.100466626E1,-1.351324022E-1,-8.775901794E-2,1.732124686E-1
1.103465892E1,-9.847739339E-2,-1.271524429E-1,7.408727705E-2
1.106465159E1,-9.532341361E-2,-1.099739075E-1,1.970963925E-2
1.109464425E1,-1.547549367E-1,-5.048274994E-2,2.016717568E-2
1.112463695E1,-2.022636533E-1,-1.043415070E-2,3.444090858E-2
1.115462962E1,-2.783984542E-1,2.534198761E-2,1.322550178E-1
1.118462232E1,-2.373712063E-1,9.465217590E-3,1.476808488E-1
1.121461501E1,-1.256828755E-1,-4.867172241E-2,1.342993826E-1
1.124460768E1,-1.121670008E-2,-1.115350723E-1,8.305142820E-2
1.127460034E1,7.200843096E-2,-1.390714645E-1,4.809081554E-3
1.129466211E1,8.369594812E-2,-1.698417664E-1,-3.928148001E-2
1.131472391E1,8.902986348E-2,-1.577539444E-1,-8.429412544E-2
1.133478568E1,4.312281311E-2,-1.242218018E-1,-7.233780622E-2
1.135484744E1,1.465988159E-2,-7.636165619E-2,-3.518106043E-2
1.137490921E1,-3.784587979E-2,-3.802680969E-2,6.398335099E-4
1.139497094E1,-2.929419279E-2,-3.791809082E-2,1.481755823E-2
1.141503271E1,-3.140810132E-2,-3.768825531E-2,5.344028398E-2
1.143509447E1,2.346402407E-2,-4.934310913E-2,5.114661902E-2
1.145515624E1,9.253704548E-2,-5.858898163E-2,3.192497790E-2
1.147521797E1,1.541675031E-1,-1.373987198E-1,-2.796228230E-2
1.149527974E1,2.115099132E-1,-1.637172699E-1,-6.593158841E-2
